Location,Other Location Details,Size,Bedrooms,Bathrooms,Price,Property Type,Purchase Type
Windsor,Ridgeways,None,5,7,450000,House,Rent
Kitisuru,Westlands,None,5,5,250000,House,Rent
Karen,,None,5,6,550000,House,Rent
Karen,,None,5,5,300000,House,Rent
Karen,,None,4,5,350000,House,Rent
Karen,,None,4,5,350000,House,Rent
Karen,,None,5,5,350000,House,Rent
Kyuna,Westlands,None,5,5,400000,House,Rent
Karen,,None,3,2,120000,House,Rent
01,"kiambu road, Runda, Westlands",None,4,4,230000,House,Rent
Karen,,None,4,3,130000,House,Rent
Gigiri,Westlands,None,5,5,350000,House,Rent
Gigiri,Westlands,None,4,4,400000,House,Rent
Nyali Mombasa,"Nyali Area, Nyali",None,5,5,150000,House,Rent
Kiambu Road,,250 m²,4,5,215000,House,Rent
Nyali,Nyali Area,None,4,3,110000,House,Rent
Off kiambu road,Kiambu Road,None,4,4,260000,House,Rent
Runda,Westlands,400 m²,5,6,480000,House,Rent
Thigiri,Westlands,398 m²,5,4,400000,House,Rent
Runda,Westlands,400 m²,5,5,350000,House,Rent
Runda,Westlands,450 m²,5,5,520000,House,Rent
Karen,,None,6,6,550000,House,Rent
Rosslyn,Westlands,399 m²,4,5,390000,House,Rent
Riverside,Westlands,None,5,5,300000,House,Rent
Nyari,Westlands,None,5,5,650000,House,Rent
Runda,Westlands,None,6,6,470000,House,Rent
Nyari central Nairobi,"Nyari, Westlands",None,4,5,500000,House,Rent
Old kitisuru,"Kitisuru, Westlands",None,6,6,450000,House,Rent
Rosslyn,Westlands,None,4,4,390000,House,Rent
Lavington,,None,5,5,500000,House,Rent
Old kitisuru,"Kitisuru, Westlands",None,6,6,450000,House,Rent
Lakeview,"Lake View, Westlands",None,4,4,350000,House,Rent
Rosslyn,Westlands,None,4,4,390000,House,Rent
Kitisuru,Westlands,None,5,5,1200000,House,Rent
Karen,,None,5,6,400000,House,Rent
kitisuru,"Kitisuru, Westlands",None,5,5,1200000,House,Rent
Runda,Westlands,None,4,5,400000,House,Rent
Runda,Westlands,None,5,6,520000,House,Rent
Nyali,Nyali Area,None,7,7,250000,House,Rent
Nyali,Nyali Area,None,5,4,120000,House,Rent
Runda,Westlands,None,2,2,250000,House,Rent
Runda,Westlands,None,4,4,320000,House,Rent
Runda,Westlands,None,2,2,130000,House,Rent
Gigiri,Westlands,None,4,4,350000,House,Rent
Runda,Westlands,None,5,5,520000,House,Rent
89,"Lakeview, Lake View, Westlands",None,5,4,350000,House,Rent
Runda,Westlands,None,5,5,350000,House,Rent
Kyuna,Westlands,None,4,4,350000,House,Rent
Karen,,3500 ft²,5,6,200000,House,Rent
Lavington,,None,6,8,650000,House,Rent
Riverside,Westlands,350 m²,5,5,300000,House,Rent
Garden Estate,Roysambu,None,5,5,280000,House,Rent
Runda,Westlands,None,2,2,150000,House,Rent
Runda,Westlands,None,5,5,420000,House,Rent
Runda,Westlands,None,5,5,350000,House,Rent
Kitisuru,Westlands,500 m²,6,7,460000,House,Rent
Runda,Westlands,None,5,5,370000,House,Rent
Kitisuru,Westlands,None,5,,520000,House,Rent
Karen,,None,4,4,380000,House,Rent
Runda,Westlands,None,4,4,350000,House,Rent
Runda,Westlands,None,5,5,520000,House,Rent
Runda,Westlands,None,6,6,280000,House,Rent
Runda,Westlands,None,1,2,90000,House,Rent
Runda,Westlands,None,2,3,300000,House,Rent
Kitisuru,Westlands,None,4,4,390000,House,Rent
Muthaiga,,None,5,6,1000000,House,Rent
Runda,Westlands,None,5,5,350000,House,Rent
Runda,Westlands,None,4,4,270000,House,Rent
Runda,Westlands,None,4,5,260000,House,Rent
Karura,Westlands,None,4,4,270000,House,Rent
Tigoni,Limuru,None,4,5,170000,House,Rent
Loresho,Westlands,None,4,4,350000,House,Rent
90,"Kitisuru counrty homes, Kitisuru, Westlands",None,4,4,350000,House,Rent
Tigoni,Limuru,None,3,4,150000,House,Rent
Kitisuru,Westlands,None,6,7,400000,House,Rent
Ridgeways,,None,5,4,370000,House,Rent
Kitengela,,None,4,4,110000,House,Rent
Mombasa Road,,None,4,4,110000,House,Rent
Kitisuru,Westlands,None,6,6,450000,House,Rent
Redhill,,None,4,4,140000,House,Rent
Ridgeways,,None,4,4,250000,House,Rent
Runda,Westlands,None,4,4,350000,House,Rent
Lower Kabete,Westlands,None,5,5,650000,House,Rent
Karura,Westlands,None,4,5,260000,House,Rent
Thika Road,,None,4,5,75000,House,Rent
Runda,Westlands,None,5,5,350000,House,Rent
Lavington,,None,5,5,400000,House,Rent
Karura,Westlands,None,4,5,230000,House,Rent
Runda,Westlands,None,4,4,230000,House,Rent
Runda,Westlands,None,5,6,550000,House,Rent
Kiambu Road,,None,4,5,400000,House,Rent
Runda,Westlands,None,4,5,420000,House,Rent
Gigiri,Westlands,None,4,4,350000,House,Rent
Runda,Westlands,None,4,5,350000,House,Rent
Runda,Westlands,None,5,5,350000,House,Rent
Runda,Westlands,None,5,5,350000,House,Rent
Nyari,Westlands,None,5,5,650000,House,Rent
Nyari,Westlands,None,5,6,650000,House,Rent
Nyari,Westlands,None,5,4,300000,House,Rent
Nyari,Westlands,None,6,8,650000,House,Rent
Mt kenya road,"Nyali Area, Nyali",None,2,2,32000,House,Rent
Nyari,Westlands,None,6,8,650000,House,Rent
Nyali Mombasa,"Nyali Area, Nyali",2500 ft²,4,4,140000,House,Rent
Kitisuru,Westlands,None,3,3,375000,House,Rent
Lenana,Kileleshwa,None,5,5,350000,House,Rent
Nyari,Westlands,None,6,6,600000,House,Rent
Nyali,"Nyali Mombasa, Nyali Area",None,4,4,95000,House,Rent
01,"lavington, Lavington",None,4,4,450000,House,Rent
Kiambu Road,"Runda, Westlands",1100 m²,4,4,250000,House,Rent
Kileleshwa,,None,4,3,200000,House,Rent
Karen,,None,10,,600000,House,Rent
151,"Tala rd, Runda, Westlands",None,4,5,500000,House,Rent
Kitisuru Rd,"Kitisuru, Westlands",None,6,7,1000000,House,Rent
Tala rd,"151, Runda, Westlands",None,5,6,550000,House,Rent
Runda,Westlands,None,5,,350000,House,Rent
01,"kitisuru, Kitisuru, Westlands",None,5,5,360000,House,Rent
Gigiri,Westlands,None,5,5,715000,House,Rent
Runda,Westlands,None,5,5,530000,House,Rent
MIOTONI,Karen,None,7,8,500000,House,Rent
Karen,,None,5,5,400000,House,Rent
Lavington,,None,5,6,250000,House,Rent
Runda Nairobi,"Runda, Westlands",None,4,5,450000,House,Rent
Lavington,,400 m²,5,5,400000,House,Rent
Nyari,Westlands,None,6,7,590000,House,Rent
01,"Runda, Westlands",None,4,4,310000,House,Rent
01,"spring valley, Spring Valley, Westlands",None,3,3,300000,House,Rent
01,"kyuna, Kyuna, Westlands",None,5,5,400000,House,Rent
01,"kitisuru, Kitisuru, Westlands",None,3,3,450000,House,Rent
Kitisuru,Westlands,389 m²,4,5,388000,House,Rent
Karen,,None,5,5,600000,House,Rent
1,"Off Redhill Drive, Nyari, Westlands",400 m²,4,6,450000,House,Rent
Ridgeways,,None,4,5,400000,House,Rent
Nyali Mombasa,"Nyali 3, Nyali Area, Nyali",None,5,6,140000,House,Rent
Runda,Westlands,None,5,6,520000,House,Rent
Lavington,,None,1,1,150000,House,Rent
Riverside,Westlands,None,1,1,95000,House,Rent
Riverside,Westlands,None,2,1,150000,House,Rent
Riverside,Westlands,None,3,2,180000,House,Rent
Runda,Westlands,None,4,5,230000,House,Rent
Runda,Westlands,None,6,6,585000,House,Rent
Runda,Westlands,None,6,6,500000,House,Rent
